CodigoCliente,Titulo,PrimeiroNome,UltimoNome,Idade,Sexo,Endereco,Cidade,UF,UFCompleto,CEP,Pais,PaisCompleto,Email,RendaMensal,PercentualUtilizacaoLimite,QtdTransacoesNegadas,AnosDeRelacionamentoBanco,JaUsouChequeEspecial,QtdEmprestimos,NumeroAtendimentos,TMA,IndiceSatisfacao,Saldo,CLTV,CanalPref,Churn
9329,Sra.,Maria,Castro,55,Feminino,Rua Doutor Eduardo Gomes Monteiro 1076,Cuiabá,MT,Mato Grosso,78030-245,BR,Brazil,MariaSilvaCastro@dayrep.com,4280,0.96,5,13,0,4,16,139,2,4173,49,Ligacao,1
9330,Sr.,Estevan,Almeida,30,Masculino,Rua Chico Mendes 1094,Petrolina,PE,Pernambuco,56328-660,BR,Brazil,EstevanRodriguesAlmeida@rhyta.com,8293,0.24,5,7,0,0,3,2,4,5468,45,Push,0
9331,Sr.,Vitor,Lima,32,Masculino,Rua Conrado 369,Guarulhos,SP,São Paulo,07097-080,BR,Brazil,VitorFerreiraLima@dayrep.com,5368,0.5,3,3,0,0,3,1,5,910,67,Push,0
9332,Sr.,Rodrigo,Almeida,31,Masculino,Rua Mata-Velho 1544,Manaus,AM,Amazonas,69008-370,BR,Brazil,RodrigoGoncalvesAlmeida@dayrep.com,3727,1,10,12,1,5,38,43,3,5069,45,Email,1
9333,Sra.,Rebeca,Oliveira,52,Feminino,Rua Jarbas de Carvalho Asbahr 1758,Campinas,SP,São Paulo,13098-000,BR,Brazil,RebecaCardosoOliveira@einrot.com,5704,0.42,0,8,0,1,1,4,4,4034,30,Push,0
9334,Sr.,Antônio,Castro,59,Masculino,Rua Vicentino Fragalli 1814,São Carlos,SP,São Paulo,13569-440,BR,Brazil,AntonioAlvesCastro@superrito.com,6754,0.34,3,13,1,3,2,8,4,4018,64,Email,0
9335,Sra.,Luiza,Carvalho,22,Feminino,Rua dos Tupiniquins 1086,Franca,SP,São Paulo,14406-687,BR,Brazil,LuizaSouzaCarvalho@dayrep.com,9460,0.33,14,9,1,3,3,5,5,6146,75,SMS,0
9336,Sra.,Marina,Martins,29,Feminino,Rua Nilson João Raulino 1406,Joinville,SC,Santa Catarina,89235-616,BR,Brazil,MarinaBarbosaMartins@cuvox.de,7109,0.98,3,12,0,2,26,117,3,5482,84,Email,1
9337,Sra.,Maria,Araujo,45,Feminino,Rua Laumar Rocha Filgueira 593,Patos de Minas,MG,Minas Gerais,38705-220,BR,Brazil,MariaAlmeidaAraujo@jourrapide.com,9617,1,2,20,1,4,24,199,0,6995,50,Email,1
9338,Sra.,Melissa,Correia,29,Feminino,Rua Rui Zappelini 70,Lages,SC,Santa Catarina,88523-420,BR,Brazil,MelissaOliveiraCorreia@gustr.com,9926,1,2,7,1,3,21,112,0,2726,87,SMS,1
9339,Sra.,Bruna,Oliveira,57,Feminino,Rua Airton Senna 1589,Corumbá,MS,Mato Grosso do Sul,79310-137,BR,Brazil,BrunaPereiraOliveira@gustr.com,4795,0.34,8,1,0,0,3,6,5,1473,38,Push,0
9340,Sra.,Julieta,Correia,32,Feminino,Travessa Jardim das Flores 648,Palmeira dos Índios,AL,Alagoas,57607-305,BR,Brazil,JulietaCardosoCorreia@dayrep.com,7936,1,5,8,1,4,48,144,3,6125,71,SMS,1
9341,Sr.,Luís,Souza,50,Masculino,Rua Monsenhor Sylvestre Murari 484,São Roque,SP,São Paulo,18130-332,BR,Brazil,LuisFernandesSouza@cuvox.de,7245,0.48,12,15,1,3,1,0,5,5540,72,Email,0
9342,Sra.,Maria,Carvalho,36,Feminino,Rua Vênus 650,São Luís,MA,Maranhão,65070-610,BR,Brazil,MariaLimaCarvalho@jourrapide.com,3219,0.38,10,0,0,5,3,1,5,3301,60,Push,0
9343,Sra.,Camila,Ribeiro,32,Feminino,Rua Vinte e Cinco 996,Abreu e Lima,PE,Pernambuco,53540-340,BR,Brazil,CamilaSouzaRibeiro@fleckens.hu,5140,0.46,10,17,1,1,2,3,4,516,52,Push,0
9344,Sr.,Luan,Araujo,56,Masculino,Rua Um 459,São Paulo,SP,São Paulo,05813-045,BR,Brazil,LuanSousaAraujo@rhyta.com,6190,0.22,1,19,0,0,2,5,5,8282,46,Email,0
9345,Sr.,Enzo,Gomes,37,Masculino,Quadra SEPN 514 Bloco E 1509,Brasília,DF,Distrito Federal,70760-545,BR,Brazil,EnzoLimaGomes@cuvox.de,5186,0.33,0,0,0,1,3,8,4,3011,60,Push,0
9346,Sr.,Douglas,Oliveira,19,Masculino,Quadra SHIS QI 09 Bloco H 1204,Lago Sul,DF,Distrito Federal,71625-095,BR,Brazil,DouglasCarvalhoOliveira@dayrep.com,5381,0.2,1,13,1,0,1,4,4,1720,62,Ligacao,0
9347,Sr.,Erick,Rocha,31,Masculino,Rua Felipe Camarão 1698,Blumenau,SC,Santa Catarina,89035-490,BR,Brazil,ErickCunhaRocha@teleworm.us,3611,1,7,2,1,0,45,99,2,1234,60,Push,1
9348,Sra.,Nicole,Fernandes,36,Feminino,Rua Gravatá 1186,Recife,PE,Pernambuco,50970-460,BR,Brazil,NicoleSouzaFernandes@einrot.com,6756,0.35,6,10,1,4,3,1,4,6833,40,Push,0
9349,Sra.,Camila,Cardoso,42,Feminino,Rua do Pulo 1764,Jaboatão dos Guararapes,PE,Pernambuco,54130-380,BR,Brazil,CamilaAraujoCardoso@einrot.com,5802,0.28,12,8,0,5,2,2,5,3076,86,Ligacao,0
9350,Sra.,Giovana,Melo,26,Feminino,Caminho Quatro 356,Camaçari,BA,Bahia,42803-100,BR,Brazil,GiovanaCavalcantiMelo@teleworm.us,7016,1,11,12,0,4,38,187,2,5843,36,Push,1
9351,Sr.,Mateus,Sousa,28,Masculino,Rua Dom Benjamim de Souza Gomes 1450,Sorocaba,SP,São Paulo,18071-056,BR,Brazil,MateusCarvalhoSousa@superrito.com,8799,0.88,13,13,0,3,33,160,0,3079,79,Email,1
9352,Sra.,Emilly,Cavalcanti,51,Feminino,Travessa Dois Leões 484,Salvador,BA,Bahia,41110-050,BR,Brazil,EmillyDiasCavalcanti@einrot.com,6570,0.38,9,18,1,1,3,1,5,9868,64,Email,0
9353,Sra.,Carolina,Santos,45,Feminino,Travessa Alphonse Benjamin Chauvin 1564,São Paulo,SP,São Paulo,02463-025,BR,Brazil,CarolinaRibeiroSantos@teleworm.us,9298,0.35,2,14,0,1,2,1,4,3984,52,SMS,0
9354,Sra.,Raissa,Goncalves,35,Feminino,Rua Vinte de Dezembro 1536,Dourados,MS,Mato Grosso do Sul,79810-090,BR,Brazil,RaissaSousaGoncalves@jourrapide.com,8932,0.18,8,20,0,2,1,7,4,7841,75,Email,0
9355,Sr.,Tomás,Araujo,46,Masculino,Rua São João 870,Fortaleza,CE,Ceará,60310-460,BR,Brazil,TomasFerreiraAraujo@rhyta.com,3383,0.87,12,15,0,3,12,126,3,5443,87,Push,1
9356,Sr.,Diego,Ribeiro,20,Masculino,Jardim São José 1611,São Paulo,SP,São Paulo,04017-110,BR,Brazil,DiegoAlmeidaRibeiro@armyspy.com,3248,0.98,11,16,0,2,19,58,3,4488,49,Push,1
9357,Sr.,Joao,Silva,54,Masculino,Rua Doutor Álvaro Braga 1025,Taubaté,SP,São Paulo,12052-640,BR,Brazil,JoaoAraujoSilva@gustr.com,6636,0.35,3,1,0,1,3,6,4,847,71,SMS,0
9358,Sr.,Breno,Santos,43,Masculino,Rua Pilar 1636,Novo Hamburgo,RS,Rio Grande do Sul,93330-350,BR,Brazil,BrenoCarvalhoSantos@dayrep.com,4455,0.99,3,15,1,0,35,59,0,1719,50,Ligacao,1
9359,Sra.,Gabrielle,Alves,66,Feminino,Praça Comendador Nicolau Scarpa 1556,Sorocaba,SP,São Paulo,18010-180,BR,Brazil,GabrielleLimaAlves@superrito.com,5018,0.46,13,16,0,4,1,7,5,7493,33,Email,0
9360,Sra.,Alice,Cunha,18,Feminino,Avenida Castelo Branco 463,Várzea Grande,MT,Mato Grosso,78125-700,BR,Brazil,AliceAlmeidaCunha@fleckens.hu,4739,0.86,2,19,0,0,23,200,1,125,85,Push,1
9361,Sra.,Isabelle,Goncalves,48,Feminino,Rua Maria Matos Schwab 1788,Cariacica,ES,Espírito Santo,29156-591,BR,Brazil,IsabellePintoGoncalves@rhyta.com,7640,0.83,3,12,0,2,13,117,3,2274,39,Ligacao,1
9362,Sra.,Emilly,Alves,66,Feminino,Avenida Santa Cruz 78,Serra,ES,Espírito Santo,29174-050,BR,Brazil,EmillyFernandesAlves@teleworm.us,5694,0.48,6,15,0,0,3,2,5,158,35,Push,0
9363,Sr.,Estevan,Lima,38,Masculino,Rua Pereira da Costa 1738,Camaragibe,PE,Pernambuco,54756-270,BR,Brazil,EstevanMartinsLima@armyspy.com,5013,0.98,3,6,0,1,21,191,0,1942,81,SMS,1
9364,Sr.,Felipe,Melo,58,Masculino,Rua Benedito Martins 174,Jacareí,SP,São Paulo,12341-210,BR,Brazil,FelipeRodriguesMelo@cuvox.de,3388,0.95,13,8,0,5,46,47,1,5835,87,SMS,1
9365,Sra.,Isabella,Melo,58,Feminino,Viela Portela 1509,São Paulo,SP,São Paulo,04966-070,BR,Brazil,IsabellaAraujoMelo@superrito.com,8473,0.01,9,19,0,4,2,0,5,3587,34,Ligacao,0
9366,Sr.,Antônio,Correia,44,Masculino,Rua Pinhalzinho 37,Carapicuíba,SP,São Paulo,06333-290,BR,Brazil,AntonioCastroCorreia@armyspy.com,3310,0.8,10,18,1,5,44,194,3,3479,86,Push,1
9367,Sra.,Júlia,Lima,39,Feminino,Rua Fernando José Augusto Bittencourt 562,São Vicente,SP,São Paulo,11335-190,BR,Brazil,JuliaAzevedoLima@superrito.com,7981,0.8,0,19,1,2,41,110,0,1433,61,SMS,1
9368,Sra.,Isabela,Oliveira,60,Feminino,Rua Benedito Costa Oliveira 1810,Guaratinguetá,SP,São Paulo,12509-800,BR,Brazil,IsabelaCorreiaOliveira@armyspy.com,9752,0.94,3,0,0,4,38,38,2,2372,76,SMS,1
9369,Dr.,Kauan,Rocha,65,Masculino,Rua Arnoldo da Costa Sabino 1774,Florianópolis,SC,Santa Catarina,88066-465,BR,Brazil,KauanCunhaRocha@armyspy.com,3528,0.5,10,12,1,5,3,3,5,5365,58,Email,0
9370,Sra.,Beatriz,Sousa,21,Feminino,Rua Álvaro Silva 654,São Paulo,SP,São Paulo,02723-020,BR,Brazil,BeatrizCardosoSousa@jourrapide.com,3962,0.47,10,13,0,4,3,0,4,9269,74,Ligacao,0
9371,Sra.,Aline,Almeida,40,Feminino,Rua Bezerra de Menezes 1650,Santana do Livramento,RS,Rio Grande do Sul,97578-155,BR,Brazil,AlineAraujoAlmeida@rhyta.com,6984,0.2,2,14,0,0,2,6,4,4137,61,Push,0
9372,Sra.,Nicole,Castro,23,Feminino,Rua 1 231,Fortaleza,CE,Ceará,60743-210,BR,Brazil,NicoleAlvesCastro@superrito.com,3340,0.06,8,9,0,2,3,3,4,2315,73,Ligacao,0
9373,Sra.,Lara,Ferreira,39,Feminino,Rua João Burmamm 248,Teófilo Otoni,MG,Minas Gerais,39801-390,BR,Brazil,LaraGomesFerreira@cuvox.de,8136,0.36,14,6,0,2,3,8,4,5414,87,Ligacao,0
9374,Dr.,Livia,Souza,23,Feminino,Avenida Governador Magalhães Barata 1655,Belém,PA,Pará,66063-240,BR,Brazil,LiviaOliveiraSouza@superrito.com,3620,0.3,2,16,1,3,2,6,5,4076,87,Push,0
9375,Sra.,Emilly,Ferreira,48,Feminino,Rua Pedro Padovani 150,São Paulo,SP,São Paulo,04194-080,BR,Brazil,EmillyAzevedoFerreira@gustr.com,7998,1,4,17,1,1,27,117,0,8765,50,SMS,1
9376,Sra.,Eduarda,Pereira,37,Feminino,Rua Ventura Pinto 1566,Porto Alegre,RS,Rio Grande do Sul,91712-050,BR,Brazil,EduardaMartinsPereira@superrito.com,7694,0.8,13,18,0,3,16,194,0,5192,74,Ligacao,1
9377,Sra.,Thaís,Rocha,53,Feminino,Rua Barão de Santo Ângelo 1452,Rio Grande,RS,Rio Grande do Sul,96212-650,BR,Brazil,ThaisSouzaRocha@teleworm.us,6556,1,9,2,0,2,36,92,0,5480,56,SMS,1
9378,Sr.,Tiago,Rocha,31,Masculino,Rua Jorge Silvino Barbosa 386,Cachoeiro de Itapemirim,ES,Espírito Santo,29305-350,BR,Brazil,TiagoFerreiraRocha@dayrep.com,8821,1,14,9,1,2,32,120,2,9502,43,Ligacao,1
9379,Sr.,Enzo,Fernandes,57,Masculino,Rua Soldado Gregório Kislek 1498,Curitiba,PR,Paraná,81850-130,BR,Brazil,EnzoPereiraFernandes@jourrapide.com,5077,0.35,5,16,0,5,1,4,4,1732,65,Push,0
9380,Sra.,Gabriela,Silva,53,Feminino,Praça Doutor Quintino Bocaiúva 972,Porto Alegre,RS,Rio Grande do Sul,91330-340,BR,Brazil,GabrielaCastroSilva@rhyta.com,4606,1,0,4,1,1,35,163,0,1887,73,Ligacao,1
9381,Sra.,Yasmin,Santos,57,Feminino,Quadra Quadra C 5 679,Luziânia,GO,Goiás,72855-525,BR,Brazil,YasminOliveiraSantos@einrot.com,8737,0.27,5,4,0,2,3,2,5,2222,51,SMS,0
9382,Sra.,Marina,Gomes,31,Feminino,Rua Roncador 1448,Curitiba,PR,Paraná,81250-220,BR,Brazil,MarinaCorreiaGomes@einrot.com,4936,0.23,13,20,0,4,1,4,4,6576,46,Push,0
9383,Sra.,Lara,Barbosa,30,Feminino,Rua 107 117,Fortaleza,CE,Ceará,60744-450,BR,Brazil,LaraRodriguesBarbosa@superrito.com,6322,1,10,5,1,3,40,166,0,5520,69,Push,1
9384,Sra.,Marina,Santos,26,Feminino,Rua Luís Gama 757,São Luís,MA,Maranhão,65061-170,BR,Brazil,MarinaCunhaSantos@rhyta.com,9277,0.86,14,8,0,1,42,175,3,5178,53,Ligacao,1
9385,Sr.,Luiz,Barbosa,41,Masculino,Rua Tupinambás 1210,São José do Rio Preto,SP,São Paulo,15050-080,BR,Brazil,LuizCavalcantiBarbosa@armyspy.com,7048,0.83,11,20,0,5,32,191,3,2797,64,Ligacao,1
9386,Sra.,Sophia,Correia,45,Feminino,Rua Augusto Corrêa 1823,Belém,PA,Pará,66073-040,BR,Brazil,SophiaRochaCorreia@gustr.com,3868,0.4,1,1,1,5,1,3,5,5703,51,Push,0
9387,Sra.,Alice,Pereira,45,Feminino,Rua Esporinha 1793,Ipatinga,MG,Minas Gerais,35162-539,BR,Brazil,AliceFernandesPereira@gustr.com,7465,0.06,15,17,0,2,2,3,5,6709,32,Push,0
9388,Sra.,Vitoria,Souza,53,Feminino,Rua Dom Luiz Scortegagna 1672,Cachoeiro de Itapemirim,ES,Espírito Santo,29306-560,BR,Brazil,VitoriaDiasSouza@gustr.com,3360,0.07,0,7,0,4,1,1,4,2549,75,Email,0
9389,Sr.,Pedro,Cunha,23,Masculino,Quadra QC 05 Bloco 02 197,Valparaíso de Goiás,GO,Goiás,72878-322,BR,Brazil,PedroAraujoCunha@fleckens.hu,8006,0.92,7,14,0,3,13,152,2,5204,70,Ligacao,1
9390,Sr.,Nicolas,Almeida,20,Masculino,Rua Lázaro Iglesias de Lima 918,Itapetininga,SP,São Paulo,18207-770,BR,Brazil,NicolasCarvalhoAlmeida@dayrep.com,9400,0.85,10,15,1,0,41,132,2,4045,70,Ligacao,1
9391,Sra.,Lara,Barbosa,20,Feminino,Rua Alfredo Labes 1382,Itajaí,SC,Santa Catarina,88307-400,BR,Brazil,LaraPereiraBarbosa@rhyta.com,4577,0.89,9,2,1,2,36,160,2,8754,52,Email,1
9392,Sra.,Raissa,Castro,56,Feminino,Rua Vinte e Quatro 1454,São José dos Campos,SP,São Paulo,12226-750,BR,Brazil,RaissaGoncalvesCastro@einrot.com,9642,0.15,4,16,0,3,2,3,4,6755,72,Push,0
9393,Sr.,João,Cardoso,59,Masculino,Rua Serra 1194,Duque de Caxias,RJ,Rio de Janeiro,25271-420,BR,Brazil,JoaoBarrosCardoso@teleworm.us,3515,0.84,11,7,0,3,32,103,3,3272,61,Email,1
9394,Dr.,Cauã,Alves,47,Masculino,Travessa WE-26 904,Ananindeua,PA,Pará,67133-090,BR,Brazil,CauaDiasAlves@armyspy.com,6449,0.13,11,8,0,1,1,0,4,9234,62,Push,0
9395,Sra.,Yasmin,Barros,40,Feminino,Rua do Rouxinol 1054,Londrina,PR,Paraná,86030-460,BR,Brazil,YasminSantosBarros@superrito.com,9534,0.85,13,18,0,5,42,135,0,3772,73,Ligacao,1
9396,Sra.,Rebeca,Souza,42,Feminino,Rua das Mandioqueiras 1386,Goiânia,GO,Goiás,74680-320,BR,Brazil,RebecaAzevedoSouza@rhyta.com,9273,0.27,15,6,1,0,3,1,5,9842,61,SMS,0
9397,Sra.,Leonor,Ferreira,27,Feminino,Rua G 1073,Uberaba,MG,Minas Gerais,38037-593,BR,Brazil,LeonorCostaFerreira@superrito.com,7853,1,12,5,0,0,37,57,0,7266,35,Ligacao,1
9398,Sr.,Gabriel,Azevedo,38,Masculino,Ladeira do Apique 114,Recife,PE,Pernambuco,52280-224,BR,Brazil,GabrielMeloAzevedo@dayrep.com,7672,0.23,10,13,0,3,2,3,4,1976,48,Ligacao,0
9399,Sr.,Felipe,Carvalho,18,Masculino,Avenida Waldir Sobreira Pires 1156,Volta Redonda,RJ,Rio de Janeiro,27281-347,BR,Brazil,FelipeSantosCarvalho@fleckens.hu,6240,1,7,2,0,2,29,121,3,2073,61,Email,1
9400,Sr.,Leonardo,Cunha,61,Masculino,Praça das Cerejeiras 439,Presidente Prudente,SP,São Paulo,19061-440,BR,Brazil,LeonardoSousaCunha@jourrapide.com,3750,0.91,9,8,0,4,14,49,1,8741,48,SMS,1
9401,Sra.,Brenda,Cardoso,40,Feminino,Rua Angelina Cropalato 735,São João de Meriti,RJ,Rio de Janeiro,25535-470,BR,Brazil,BrendaAlvesCardoso@armyspy.com,9794,1,3,10,0,0,36,129,0,2992,38,Email,1
9402,Sra.,Ágatha,Melo,62,Feminino,Rua Buenos Aires 1494,Itaguaí,RJ,Rio de Janeiro,23812-730,BR,Brazil,AgathaRibeiroMelo@einrot.com,3316,0.33,11,8,1,0,3,2,5,4439,41,Push,0
9403,Sra.,Letícia,Pereira,50,Feminino,Rua Francisco Chaunne 406,Piraquara,PR,Paraná,83306-050,BR,Brazil,LeticiaSilvaPereira@armyspy.com,4721,1,6,2,0,0,13,89,3,335,75,Email,1
9404,Sr.,Paulo,Pereira,48,Masculino,Rua Silveira Sampaio 789,Rio de Janeiro,RJ,Rio de Janeiro,21911-180,BR,Brazil,PauloSousaPereira@rhyta.com,7362,0.41,9,7,1,5,2,5,5,3150,77,Push,0
9405,Sr.,Vitor,Araujo,33,Masculino,Rua Engenheiro Alde de Castro Salgado 738,Recife,PE,Pernambuco,50950-180,BR,Brazil,VitorPintoAraujo@superrito.com,7678,0.19,13,4,0,3,1,4,5,5750,72,Ligacao,0
9406,Sr.,Diego,Costa,35,Masculino,Rua Halza Pimenta de Carvalho Toledo 153,Marília,SP,São Paulo,17511-687,BR,Brazil,DiegoRibeiroCosta@superrito.com,9386,0.36,10,9,1,3,2,3,4,4413,31,Push,0
9407,Sr.,Eduardo,Barbosa,26,Masculino,Travessa José de Oliveira 1726,Barra do Piraí,RJ,Rio de Janeiro,27145-240,BR,Brazil,EduardoSouzaBarbosa@cuvox.de,4946,0.09,6,9,0,1,3,3,4,4647,70,SMS,0
9408,Sra.,Ágatha,Barros,25,Feminino,Rua Varzea Nova 85,São Paulo,SP,São Paulo,08475-400,BR,Brazil,AgathaAraujoBarros@cuvox.de,3585,0.21,9,16,0,0,1,3,5,3573,50,Ligacao,0
9409,Sr.,Davi,Correia,21,Masculino,Rua Governador Valadares 1309,Passos,MG,Minas Gerais,37902-356,BR,Brazil,DaviRibeiroCorreia@superrito.com,4448,0.98,2,12,0,0,24,56,0,9542,70,Ligacao,1
9410,Sr.,Otávio,Azevedo,49,Masculino,Praça Cândido Rondon 1714,Mogi-Guaçu,SP,São Paulo,13840-026,BR,Brazil,OtavioSilvaAzevedo@gustr.com,9277,0.81,13,19,0,1,24,102,2,2393,85,Push,1
9411,Sra.,Alice,Gomes,41,Feminino,Avenida João Batista de Campos 1022,Ribeirão Pires,SP,São Paulo,09441-550,BR,Brazil,AliceRibeiroGomes@rhyta.com,9911,1,5,14,0,2,16,78,2,1464,39,Ligacao,1
9412,Sra.,Melissa,Goncalves,53,Feminino,Rua Renato Venga 1315,Varginha,MG,Minas Gerais,37036-350,BR,Brazil,MelissaSilvaGoncalves@superrito.com,9668,0.1,0,14,1,1,3,1,5,1063,37,Email,0
9413,Sr.,Otávio,Barbosa,48,Masculino,Rua Nove 80,Petrolina,PE,Pernambuco,56312-090,BR,Brazil,OtavioPintoBarbosa@dayrep.com,3626,0.26,0,17,1,5,1,4,5,7735,89,SMS,0
9414,Sra.,Marisa,Santos,23,Feminino,Rua Machado de Assis 1916,Santa Bárbara D'Oeste,SP,São Paulo,13451-000,BR,Brazil,MarisaFernandesSantos@cuvox.de,3658,0.96,8,4,1,2,12,193,0,9189,42,Push,1
9415,Sr.,Antônio,Sousa,52,Masculino,Rua JI-107 963,Aparecida de Goiânia,GO,Goiás,74964-588,BR,Brazil,AntonioCorreiaSousa@armyspy.com,8704,0.93,0,4,1,4,24,123,2,3606,48,Ligacao,1
9416,Sr.,Luan,Costa,56,Masculino,Rua Parintins 1998,Manaus,AM,Amazonas,69093-066,BR,Brazil,LuanMeloCosta@superrito.com,6394,0.99,10,20,0,4,24,126,2,3625,61,Email,1
9417,Sr.,Cauã,Fernandes,51,Masculino,Rua dos Lírios 835,Sumaré,SP,São Paulo,13173-232,BR,Brazil,CauaPereiraFernandes@cuvox.de,7934,0.82,5,3,0,5,38,51,2,1645,70,Push,1
9418,Sra.,Julieta,Barros,19,Feminino,Rua Um 978,Uberaba,MG,Minas Gerais,38057-813,BR,Brazil,JulietaSouzaBarros@cuvox.de,3750,0.18,8,13,0,2,3,4,4,4138,54,Email,0
9419,Sra.,Letícia,Almeida,52,Feminino,Rua Coronel Pacheco do Couto 1177,São Paulo,SP,São Paulo,08330-310,BR,Brazil,LeticiaSilvaAlmeida@teleworm.us,9636,0.83,8,4,1,3,25,43,0,1892,81,SMS,1
9420,Sra.,Julieta,Oliveira,24,Feminino,Rua Gracinda Pereira 1309,Japeri,RJ,Rio de Janeiro,26460-190,BR,Brazil,JulietaCavalcantiOliveira@rhyta.com,9234,1,5,9,0,1,35,84,0,7197,41,SMS,1
9421,Sra.,Livia,Melo,29,Feminino,Travessa Cabral 781,Fortaleza,CE,Ceará,60542-300,BR,Brazil,LiviaOliveiraMelo@gustr.com,3644,1,5,13,0,3,16,65,1,9501,60,Push,1
9422,Sra.,Letícia,Carvalho,62,Feminino,Rua Dois 1260,Rio de Janeiro,RJ,Rio de Janeiro,21210-550,BR,Brazil,LeticiaGoncalvesCarvalho@rhyta.com,5856,0.87,2,17,0,3,31,144,3,8803,42,Ligacao,1
9423,Sra.,Lara,Fernandes,65,Feminino,Avenida Honorinha Alves Furtado 614,Gurupi,TO,Tocantins,77425-250,BR,Brazil,LaraSantosFernandes@rhyta.com,9945,0.31,3,10,1,2,1,4,5,2723,34,Email,0
9424,Sr.,Júlio,Carvalho,59,Masculino,Via 22 333,Formosa,GO,Goiás,73802-427,BR,Brazil,JulioRodriguesCarvalho@teleworm.us,5659,0.18,2,15,0,5,3,4,5,1433,72,SMS,0
9425,Sr.,Kaua,Dias,34,Masculino,Avenida José Ferreira Chucre 1823,Macapá,AP,Amapá,68909-250,BR,Brazil,KauaAraujoDias@gustr.com,8801,0.83,0,1,0,5,11,200,3,6089,63,Ligacao,1
9426,Sra.,Nicole,Melo,34,Feminino,Rua AC - 014 230,Brusque,SC,Santa Catarina,88353-616,BR,Brazil,NicoleSouzaMelo@armyspy.com,9369,0.86,15,4,0,1,43,88,3,2043,78,Push,1
9427,Sr.,Nicolas,Alves,66,Masculino,Avenida Visconde de Caravelas 792,Duque de Caxias,RJ,Rio de Janeiro,25211-295,BR,Brazil,NicolasRochaAlves@cuvox.de,6920,0.97,3,1,0,2,48,57,2,7461,74,Email,1
9428,Sra.,Gabrielle,Pinto,60,Feminino,Rua Ângelo Montecilli 756,São Paulo,SP,São Paulo,03648-050,BR,Brazil,GabrielleBarrosPinto@armyspy.com,7683,0.94,10,12,0,3,31,34,3,6907,59,SMS,1
9429,Sra.,Luiza,Rodrigues,29,Feminino,Rua Tomás Barbosa 553,São Paulo,SP,São Paulo,03971-020,BR,Brazil,LuizaLimaRodrigues@rhyta.com,3737,1,1,12,0,4,28,69,1,8162,71,SMS,1
9430,Sr.,João,Lima,20,Masculino,Rua Adolfo Campos de Araújo 1834,São Paulo,SP,São Paulo,05778-090,BR,Brazil,JoaoMeloLima@cuvox.de,7153,1,15,7,0,3,23,109,0,5372,81,Ligacao,1
9431,Sra.,Isabelle,Barbosa,45,Feminino,Estrada da Fazenda 1520,Nova Iguaçu,RJ,Rio de Janeiro,26013-470,BR,Brazil,IsabelleCostaBarbosa@dayrep.com,7256,0.02,6,4,0,5,2,2,4,4333,69,Push,0
9432,Sr.,Kaua,Melo,34,Masculino,Travessa Rio Sarapuí 1383,Mesquita,RJ,Rio de Janeiro,26584-260,BR,Brazil,KauaGoncalvesMelo@armyspy.com,8798,1,8,10,1,5,43,52,3,5619,77,Push,1
9433,Sra.,Ágatha,Almeida,58,Feminino,Rua Professor Aleixo José Ferreira 392,Uberlândia,MG,Minas Gerais,38401-474,BR,Brazil,AgathaCarvalhoAlmeida@fleckens.hu,6457,0.27,1,10,1,0,1,6,5,7051,74,Push,0
9434,Sra.,Luana,Oliveira,60,Feminino,Quadra 6 923,São Sebastião,DF,Distrito Federal,71694-006,BR,Brazil,LuanaLimaOliveira@gustr.com,4250,1,4,4,0,1,21,75,1,3794,38,Email,1
9435,Sr.,Cauã,Castro,37,Masculino,Travessa Jabuticabeira 1937,Vila Velha,ES,Espírito Santo,29123-060,BR,Brazil,CauaGoncalvesCastro@gustr.com,3020,1,8,15,0,5,48,81,3,4740,90,Push,1
9436,Sr.,Miguel,Melo,63,Masculino,Rua das Sempre-Vivas 547,São Paulo,SP,São Paulo,04704-030,BR,Brazil,MiguelOliveiraMelo@teleworm.us,3873,0.31,14,19,0,3,3,4,4,8839,85,Ligacao,0
9437,Sr.,Luiz,Melo,29,Masculino,Rua Pedro Farias 1632,Campina Grande,PB,Paraíba,58109-033,BR,Brazil,LuizCarvalhoMelo@armyspy.com,3125,0,14,8,0,5,3,5,4,4649,55,Push,0
9438,Sra.,Leila,Cavalcanti,18,Feminino,Rua 1 1447,Anápolis,GO,Goiás,75144-110,BR,Brazil,LeilaCorreiaCavalcanti@teleworm.us,8817,0.07,12,12,0,4,2,8,4,8553,55,SMS,0
9439,Sr.,Pedro,Alves,52,Masculino,Avenida Alberto Lamego 100,Campos dos Goytacazes,RJ,Rio de Janeiro,28016-812,BR,Brazil,PedroRochaAlves@rhyta.com,3132,0.81,1,3,0,5,13,55,1,970,89,Push,1
9440,Sr.,Gabriel,Castro,63,Masculino,Avenida Aricanduva 1374,São Paulo,SP,São Paulo,03951-220,BR,Brazil,GabrielSantosCastro@teleworm.us,3428,0.99,13,2,0,1,41,127,0,3126,84,Ligacao,1
9441,Sr.,Victor,Cardoso,48,Masculino,Rua Lorenzo Fernandes 1725,Praia Grande,SP,São Paulo,11713-200,BR,Brazil,VictorPintoCardoso@fleckens.hu,8983,1,8,2,0,2,38,89,0,5341,90,Email,1
